红楼梦原文,English Translation
第一回,Chapter 1
甄士隐 梦幻 识通 灵,Zhen Shi-yin makes the Stone 's acquaintance in a dream
贾雨村 风尘 怀 闺秀,And Jia Yu-cun finds that poverty is not incompatible with romantic feelings
看官 ： 你 道 此书 从 何 而 起 ？,"GENTLE READER , What , you may ask , was the origin of this book ?"
— — 说来 虽 近 荒唐 ， 细玩 颇 有 趣味 。,"Though the answer to this question may at first seem to border on the absurd , reflection will show that there is a good deal more in it than meets the eye ."
却说 那 女 蜗氏 炼石补天 之 时 ， 于 大 荒山 无稽 崖 炼成 高 十二 丈 、 见方 二十四丈 大 的 顽石 三万 六千五百 零 一块 ， 那 蜗皇 只用 了 三万 六千五百 块 ， 单单 剩下 一块 未 用 ， 弃 在 青填峰 下 。,"Long ago , when the goddess Nii-wa was repairing the sky , she melted down a great quantity of rock and , on the Incredible Crags of the Great Fable Mountains , moulded the amalgam into thirty-six thousand , five hundred and one large building blocks , each measuring seventy-two feet by a hundred and forty-four feet square . She used thirty-six thousand five hundred of these blocks in the course of her building operations , leaving a single odd block unused , which lay , all on its own , at the foot of Greensickness Peak in the aforementioned mountains ."
谁知 此 石 自经 锻炼 之后 ， 灵性 已 通 ， 自去 自来 ， 可大可小 ， 因见 众石俱得补天 ， 独 自己 无才 ， 不得 入选 ， 遂 自怨 自愧 ， 日夜 悲哀 。,"Now this block of stone , having undergone the melting and moulding of a goddess , possessed magic powers . It could move about at will and could grow or shrink to any size it wanted . Observing that all the other blocks had been used for celestial repairs and that it was the only one to have been rejected as unworthy , it became filled with shame and resentment and passed its days in sorrow and lamentation ."
一日 ， 正当 嗟悼 之际 ， 俄 见 一 僧 一道 ， 远远 而 来 ， 生得 骨格 不凡 ， 丰神 迥异 ， 来到 这 青埂峰 下 ， 席地 坐谈 。,"One day , in the midst of its lamentings , it saw a monk and a Taoist approaching from a great distance , each of them remarkable for certain eccentricities of manner and appearance ."
见 着 这块 鲜莹 明洁 的 石头 ， 且 又 缩成 扇坠 一般 ， 甚 属 可爱 ；,"When they arrived at the foot of Greensickness Peak , they sat down on the ground and began to talk ."
那僧托 于 掌上 ， 笑 道 ： “ 形体 倒 也 是 个 灵物 了 ！,"The monk , catching sight of a lustrous , translucent stone - it was in fact the rejected building block which had now shrunk itself to the size of a fan-pendant and looked very attractive in its new shape - took it up on the palm of his hand and addressed it with a smile : ' Ha , I see you have magical properties !"
只是 没有 实在 的 好处 ， 须 得 再 镌 上 几个 字 ， 使 人人 见 了 便 知 你 是 件 奇物 ， 然后 携 你 到 那 昌明 隆盛 之 邦 、 诗礼 簪缨 之族 、 花柳 繁华 地 、 温柔 富贵 乡 那里 去 走一遭 。 ”,But nothing to recommend you . I shall have to cut a few words on you so that anyone seeing you will know at once that you are something special . After that I shall take you to a certain brilliant successful poetical cultivated aristocratic elegant delectable luxurious opulent locality on a little trip .
石头 听 了 大喜 ， 因 问 ： “ 不知 可 镌 何 字 ？,The stone was delighted . ' What words will you cut ?
携到 何方 ？,Where is this place you will take me to ?
望 乞 明示 。 ”,I beg to be enlightened . '
那僧笑 道 ： “ 你 且莫 问 ， 日后 自然 明白 。 ”,"' Do not ask , replied the monk with a laugh . ' You will know soon enough when the time comes . '"
说 毕 ， 便 袖 了 ， 同 那道人 飘然 而 去 ， 竟 不知 投向 何方 。,And with that he slipped the stone into his sleeve and set oft ' at a great pace with the Taoist . But where they both went to I have no idea .
又 不知 过 了 几世 几 劫 ， 因 有个 空空 道人 访道 求仙 ， 从 这 大 荒山 无稽 崖 青埂峰 下 经过 ， 忽 见 一块 大石 ， 上面 字迹 分明 ， 编述 历历 ；,"Countless aeons went by and a certain Taoist called Vanitas in quest of the secret of immortality chanced to be passing below that same Greensickness Peak in the Incredible Crags of the Great Fable Mountains when he caught sight of a large stone standing there , on which the characters of a long inscription were clearly discernible ."
